Player,Team,Salary
Chris McCullough,WAS,1471382.0
Kyle Singler,OKC,4666500.0
Wade Baldwin,MEM,1874400.0
Clint Capela,HOU,2334520.0
Kyle Kuzma,LAL,1423560.0
Tyler Johnson,MIA,5881260.0
Gal Mekel,DAL,315760.0
Daniel Ochefu,WAS,50000.0
Cedi Osman,CLE,2642857.0
Al-Farouq Aminu,POR,7319035.0
John Collins,ATL,1936920.0
Dwight Powell,DAL,9003125.0
LaMarcus Aldridge,SAS,21461010.0
Glenn Robinson,IND,1524305.0
Kyle O'Quinn,NYK,4087500.0
Meyers Leonard,POR,9904495.0
Brandon Ingram,LAL,5519400.0
Ben McLemore,MEM,5200000.0
Tyler Dorsey,ATL,815615.0
Al Horford,BOS,27734405.0
